Distribution % amount ,,,,,Hourly cap per Tier ,,,,,tbl_TierPercentage_ Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tier ,Entitiespct,QRApct,Staffpct,,Tier ,QRA CAP,Entities CAP ,Staff CAP ,,Tier,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro ,45%,25%,30%,,Micro ,6,2,20,,Micro ,21.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starter,45%,25%,30%,,Starter,8,2,22,,Starter,20.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core,45%,25%,30%,,Core,10,2,23,,Core,18.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Growth,45%,25%,30%,,Growth,10,3,23,,Growth,17.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expansion,45%,25%,30%,,Expansion,12,3,40,,Expansion,17.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elite,45%,25%,30%,,Elite,12,3,50,,Elite,14.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strategic,45%,25%,30%,,Strategic,15,5,60,,Strategic,13.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Executive,45%,25%,30%,,Executive,18,6,70,,Executive,13.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custom,45%,25%,30%,,Custom,20,8,80,,Custom,10.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl_TierPercentage_ State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tier,%,,State,Utilization Cap % ,Tax Rate ,Flat or Tiered ,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro,21.3%,,Utah,75%,4.65%,Flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starter,20.8%,,Arizona,60%,2.50%,Flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core,18.6%,,California,75%,13.30%,Tiered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Growth,17.5%,,New York,75%,10.90%,Tiered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expansion,17.0%,,Colorado ,100%,4.40%,Flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elite,14.6%,,Illinois,30%,4.95%,Flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strategic,13.3%,,Massachusetts,80%,9.00%,Tiered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Executive,13.0%,,Georgia,85%,5.75%,Flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custom,10.3%,,New Jersey,70%,10.75%,Tiered ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do they get State Credit ?,,,tbl_SOW_TierRange ,,,,Custom tier % ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE ,Credit No/Yes,,Tier   ,Min,Max ,,Tier ,%,Tax Credit ,,Tier,%,Tax Credit ,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,No,,Micro ," $6,000.00 "," $25,000.00 ",,Custom   ,13.0%," $500,000 ",,Micro ,100%," $6,000.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,No,,Starter," $25,001.00 "," $50,000.00 ",,Custom   ,12.5%," $750,000 ",,Micro,85%," $8,500.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,Yes,,Core," $50,001.00 "," $75,000.00 ",,Custom   ,12.0%," $1,000,000 ",,Micro,70%," $11,000.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,No,,Growth," $75,001.00 "," $100,000.00 ",,Custom   ,11.5%," $1,500,000 ",,Micro,55%," $14,000.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,
California,Yes,,Expansion," $100,001.00 "," $150,000.00 ",,Custom   ,10.5%," $2,000,000 ",,Micro,40%," $17,500.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,No,,Elite," $150,001.00 "," $250,000.00 ",,Custom   ,9.8%," $2,500,000 ",,Micro,30%," $20,000.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,No,,Strategic," $250,001.00 "," $350,000.00 ",,Custom   ,8.5%," $3,000,000 ",,Micro,21%," $25,000.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,No,,Executive," $350,001.00 "," $500,000.00 ",,Custom   ,8.0%," $3,500,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,No,,Custom," $500,001.00 "," $5,000,000.00 ",,Custom   ,7.5%," $4,000,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,No,,Hourly Change ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,No,,Tier ,Hourly Rate ,35%,21%,Total ,,,Phase I,Phase II,Phase III,Phase IV,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,Yes,,Micro , $610 , $213.50 , $128.10 , $738 ,,Micro ,40%,25%,15%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,No,,Starter, $610 , $213.50 , $128.10 , $738 ,,Starter,40%,25%,15%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,Yes,,Core, $700 , $245.00 , $147.00 , $847 ,,Core,40%,25%,15%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,No,,Growth, $750 , $262.50 , $157.50 , $908 ,,Growth,40%,25%,15%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,No,,Expansion, $800 , $280.00 , $168.00 , $968 ,,Expansion,40%,25%,15%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,No,,Elite, $850 , $297.50 , $178.50 ," $1,029 ",,Elite,35%,25%,20%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,
